id,tanggal,waktu,temperature1,temperature2,humidity1,humidity2,status,created_at
918,2025-09-11,13:06:36,24.78,25.03,66.05,67.36,ON,2025-09-11 13:06:36
919,2025-09-11,13:07:36,24.77,25.09,66.05,67.34,ON,2025-09-11 13:07:36
920,2025-09-11,13:08:37,24.72,25.11,65.79,67.32,ON,2025-09-11 13:08:37
921,2025-09-11,13:09:38,24.74,25.07,65.91,67.49,ON,2025-09-11 13:09:38
922,2025-09-11,13:10:38,24.86,25.07,66.1,67.29,ON,2025-09-11 13:10:38
923,2025-09-11,13:11:39,24.81,25.08,65.72,67.39,ON,2025-09-11 13:11:39
924,2025-09-11,13:12:40,24.86,25.11,65.95,67.42,ON,2025-09-11 13:12:40
925,2025-09-11,13:13:41,24.91,25.08,65.87,67.57,ON,2025-09-11 13:13:41
926,2025-09-11,13:14:41,24.91,25.06,66.12,67.36,ON,2025-09-11 13:14:41
927,2025-09-11,13:15:41,24.86,25.1,65.84,67.07,ON,2025-09-11 13:15:41
928,2025-09-11,13:16:42,24.86,25.1,65.86,67.32,ON,2025-09-11 13:16:42
929,2025-09-11,13:17:42,24.88,25.14,66.09,67.67,ON,2025-09-11 13:17:42
930,2025-09-11,13:18:43,24.87,25.1,65.96,67.63,ON,2025-09-11 13:18:43
931,2025-09-11,13:19:44,24.86,25.03,65.61,67.32,ON,2025-09-11 13:19:44
932,2025-09-11,13:20:44,24.77,25.1,65.93,67.59,ON,2025-09-11 13:20:44
933,2025-09-11,13:21:44,24.79,25.11,66.19,67.39,ON,2025-09-11 13:21:44
934,2025-09-11,13:22:45,24.91,25.1,65.98,67.46,ON,2025-09-11 13:22:45
935,2025-09-11,13:23:45,24.95,25.22,66.12,67.61,ON,2025-09-11 13:23:45
936,2025-09-11,13:24:46,24.96,25.14,65.68,67.47,ON,2025-09-11 13:24:46
937,2025-09-11,13:25:47,24.96,25.08,66.09,67.54,ON,2025-09-11 13:25:47
938,2025-09-11,13:26:48,25.07,25.18,66.1,67.66,ON,2025-09-11 13:26:48
939,2025-09-11,13:27:48,24.96,25.23,65.89,67.76,ON,2025-09-11 13:27:48
940,2025-09-11,13:28:48,25.14,25.16,66.02,67.77,ON,2025-09-11 13:28:48
941,2025-09-11,13:29:49,25.03,25.19,65.95,67.19,ON,2025-09-11 13:29:49
942,2025-09-11,13:30:50,24.96,25.15,65.61,66.99,ON,2025-09-11 13:30:50
943,2025-09-11,13:31:50,24.97,25.18,65.26,66.89,ON,2025-09-11 13:31:50
944,2025-09-11,13:32:50,24.98,25.19,65.4,66.69,ON,2025-09-11 13:32:50
945,2025-09-11,13:33:51,24.91,25.18,65.43,66.59,ON,2025-09-11 13:33:51
946,2025-09-11,13:34:52,24.86,25.1,65.01,66.37,ON,2025-09-11 13:34:52
947,2025-09-11,13:35:52,24.75,25.03,65.57,66.89,ON,2025-09-11 13:35:52
