id,tanggal,waktu,temperature1,temperature2,humidity1,humidity2,status,created_at
1188,2025-09-30,13:05:38,24.73,24.55,62.25,59.61,ON,2025-09-30 13:05:38
1189,2025-09-30,13:06:38,24.63,29.52,63.02,99.99,ON,2025-09-30 13:06:38
1190,2025-09-30,13:07:38,24.59,25.02,62.57,62.84,ON,2025-09-30 13:07:38
1191,2025-09-30,13:08:38,24.53,24.56,62.35,62.95,ON,2025-09-30 13:08:38
1192,2025-09-30,13:09:38,24.51,24.39,62.07,63.17,ON,2025-09-30 13:09:38
1193,2025-09-30,13:10:39,24.59,24.47,62.09,62.29,ON,2025-09-30 13:10:39
1194,2025-09-30,13:11:39,24.54,24.46,61.95,62.15,ON,2025-09-30 13:11:39
1195,2025-09-30,13:12:40,24.47,24.43,61.68,61.53,ON,2025-09-30 13:12:40
1196,2025-09-30,13:13:41,24.45,24.41,61.7,61.48,ON,2025-09-30 13:13:41
1197,2025-09-30,13:14:42,24.47,24.35,61.48,61.25,ON,2025-09-30 13:14:42
1198,2025-09-30,13:15:42,24.5,24.41,61.65,61.29,ON,2025-09-30 13:15:42
1199,2025-09-30,13:16:43,24.43,24.41,61.57,61.13,ON,2025-09-30 13:16:43
1200,2025-09-30,13:17:44,24.44,24.41,61.77,61.25,ON,2025-09-30 13:17:44
1201,2025-09-30,13:18:44,24.38,24.37,61.32,60.74,ON,2025-09-30 13:18:44
1202,2025-09-30,13:19:45,24.46,24.37,61.27,60.53,ON,2025-09-30 13:19:45
