id,tanggal,waktu,temperature1,temperature2,humidity1,humidity2,status,created_at
957,2025-09-11,13:48:28,24.63,24.83,63.35,64.93,ON,2025-09-11 13:48:28
958,2025-09-11,13:49:28,24.64,24.84,63.33,64.85,ON,2025-09-11 13:49:28
959,2025-09-11,13:50:29,24.85,25.0,62.8,64.5,ON,2025-09-11 13:50:29
960,2025-09-11,13:51:30,25.07,25.05,62.12,63.76,ON,2025-09-11 13:51:30
961,2025-09-11,13:52:31,24.89,25.07,62.28,63.74,ON,2025-09-11 13:52:31
962,2025-09-11,13:53:31,24.77,25.03,62.24,63.63,ON,2025-09-11 13:53:31
963,2025-09-11,13:54:32,24.67,25.03,62.73,64.24,ON,2025-09-11 13:54:32
