id,tanggal,waktu,temperature1,temperature2,humidity1,humidity2,status,created_at
420,2025-09-10,10:55:55,26.67,26.85,61.15,63.17,ON,2025-09-10 10:55:55
421,2025-09-10,10:56:56,26.56,26.81,58.76,61.23,ON,2025-09-10 10:56:56
422,2025-09-10,10:57:57,26.62,26.86,59.53,60.24,ON,2025-09-10 10:57:57
423,2025-09-10,10:58:57,26.68,26.87,61.12,62.68,ON,2025-09-10 10:58:57
424,2025-09-10,10:59:58,26.67,26.86,60.7,62.16,ON,2025-09-10 10:59:58
425,2025-09-10,11:00:58,26.69,26.85,59.48,60.55,ON,2025-09-10 11:00:58
426,2025-09-10,11:01:59,26.57,26.85,57.73,59.08,ON,2025-09-10 11:01:59
427,2025-09-10,11:02:59,26.52,26.73,57.9,59.29,ON,2025-09-10 11:02:59
428,2025-09-10,11:03:59,26.53,26.72,57.95,59.21,ON,2025-09-10 11:03:59
429,2025-09-10,11:05:00,26.51,26.66,58.74,61.05,ON,2025-09-10 11:05:00
430,2025-09-10,11:06:00,26.36,26.69,61.92,61.49,ON,2025-09-10 11:06:00
431,2025-09-10,11:07:01,26.44,26.72,60.94,62.45,ON,2025-09-10 11:07:01
432,2025-09-10,11:08:02,26.45,26.67,58.74,60.25,ON,2025-09-10 11:08:02
433,2025-09-10,11:09:02,26.55,26.71,61.61,63.72,ON,2025-09-10 11:09:02
434,2025-09-10,11:10:03,26.51,26.69,62.34,63.66,ON,2025-09-10 11:10:03
435,2025-09-10,11:11:04,26.53,26.67,62.08,64.49,ON,2025-09-10 11:11:04
436,2025-09-10,11:12:04,26.47,26.65,61.15,63.06,ON,2025-09-10 11:12:04
437,2025-09-10,11:13:04,26.54,26.67,61.15,62.37,ON,2025-09-10 11:13:04
438,2025-09-10,11:14:05,26.53,26.74,60.44,62.34,ON,2025-09-10 11:14:05
439,2025-09-10,11:15:05,26.47,26.69,60.03,61.59,ON,2025-09-10 11:15:05
440,2025-09-10,11:16:06,26.51,26.76,58.86,60.74,ON,2025-09-10 11:16:06
441,2025-09-10,11:17:06,26.53,26.86,58.48,59.8,ON,2025-09-10 11:17:06
442,2025-09-10,11:18:07,26.62,26.75,60.03,60.81,ON,2025-09-10 11:18:07
443,2025-09-10,11:19:07,26.63,26.74,59.62,60.69,ON,2025-09-10 11:19:07
