id,tanggal,waktu,temperature1,temperature2,humidity1,humidity2,status,created_at
265,2025-09-08,14:06:17,24.82,24.99,53.56,55.06,ON,2025-09-08 14:06:17
266,2025-09-08,14:07:18,24.82,24.98,53.66,55.01,ON,2025-09-08 14:07:18
267,2025-09-08,14:08:18,24.77,24.96,53.65,54.59,ON,2025-09-08 14:08:18
268,2025-09-08,14:09:19,24.84,24.99,53.24,54.46,ON,2025-09-08 14:09:19
269,2025-09-08,14:10:19,24.81,24.96,53.57,55.24,ON,2025-09-08 14:10:19
270,2025-09-08,14:11:20,24.81,24.96,53.57,55.24,ON,2025-09-08 14:11:20
