id,tanggal,waktu,temperature1,temperature2,humidity1,humidity2,status,created_at
243,2025-09-04,16:08:59,24.45,24.49,59.72,61.57,ON,2025-09-04 16:08:59
244,2025-09-04,16:09:59,24.44,24.6,59.77,61.78,ON,2025-09-04 16:09:59
245,2025-09-04,16:11:00,24.44,24.51,59.91,62.49,ON,2025-09-04 16:11:00
246,2025-09-04,16:12:00,24.47,24.51,59.95,61.42,ON,2025-09-04 16:12:00
247,2025-09-04,16:13:01,24.47,24.51,60.14,62.0,ON,2025-09-04 16:13:01
248,2025-09-04,16:14:01,24.51,24.53,60.05,61.94,ON,2025-09-04 16:14:01
249,2025-09-04,16:15:01,24.52,24.59,60.21,61.82,ON,2025-09-04 16:15:01
250,2025-09-04,16:16:02,24.49,24.65,59.49,61.01,ON,2025-09-04 16:16:02
251,2025-09-04,16:17:03,24.5,24.62,60.14,62.25,ON,2025-09-04 16:17:03
252,2025-09-04,16:18:03,24.56,24.6,59.15,61.05,ON,2025-09-04 16:18:03
253,2025-09-04,16:19:04,24.49,24.61,60.02,61.88,ON,2025-09-04 16:19:04
254,2025-09-04,16:20:04,24.59,24.62,59.54,60.91,ON,2025-09-04 16:20:04
255,2025-09-04,16:21:05,24.58,24.66,59.17,60.98,ON,2025-09-04 16:21:05
256,2025-09-04,16:22:05,24.57,24.65,59.2,60.7,ON,2025-09-04 16:22:05
257,2025-09-04,16:23:06,24.5,24.56,59.35,61.05,ON,2025-09-04 16:23:06
258,2025-09-04,16:24:07,24.53,24.66,59.72,61.1,ON,2025-09-04 16:24:07
259,2025-09-04,16:25:08,24.53,24.66,59.72,61.1,ON,2025-09-04 16:25:08
