id,tanggal,waktu,temperature1,temperature2,humidity1,humidity2,status,created_at
233,2025-09-04,15:58:37,24.65,24.86,60.54,62.07,ON,2025-09-04 15:58:37
234,2025-09-04,15:59:38,24.63,24.56,60.03,61.53,ON,2025-09-04 15:59:38
235,2025-09-04,16:00:38,24.51,24.66,60.25,61.92,ON,2025-09-04 16:00:38
236,2025-09-04,16:01:38,24.47,24.56,60.02,61.83,ON,2025-09-04 16:01:38
237,2025-09-04,16:02:38,24.56,24.6,60.42,61.87,ON,2025-09-04 16:02:38
238,2025-09-04,16:03:38,24.53,24.57,59.89,61.57,ON,2025-09-04 16:03:38
239,2025-09-04,16:04:39,24.46,24.59,60.7,62.52,ON,2025-09-04 16:04:39
240,2025-09-04,16:05:39,24.47,24.48,60.14,61.94,ON,2025-09-04 16:05:39
241,2025-09-04,16:06:39,24.5,24.55,60.42,62.59,ON,2025-09-04 16:06:39
242,2025-09-04,16:07:40,24.5,24.55,60.42,62.59,ON,2025-09-04 16:07:40
