id,tanggal,waktu,temperature1,temperature2,humidity1,humidity2,status,created_at
289,2025-09-09,15:37:00,24.92,25.05,55.25,56.88,ON,2025-09-09 15:37:00
290,2025-09-09,15:38:01,24.95,25.05,55.16,56.9,ON,2025-09-09 15:38:01
291,2025-09-09,15:39:01,24.93,24.96,55.48,57.18,ON,2025-09-09 15:39:01
292,2025-09-09,15:40:02,24.88,25.02,56.03,57.17,ON,2025-09-09 15:40:02
293,2025-09-09,15:41:02,24.92,24.99,55.39,56.91,ON,2025-09-09 15:41:02
294,2025-09-09,15:42:02,24.97,24.98,56.22,57.35,ON,2025-09-09 15:42:02
295,2025-09-09,15:43:02,24.85,24.97,55.99,57.57,ON,2025-09-09 15:43:02
296,2025-09-09,15:44:03,24.83,24.87,55.23,56.66,ON,2025-09-09 15:44:03
