id,tanggal,waktu,temperature1,temperature2,humidity1,humidity2,status,created_at
271,2025-09-08,14:27:08,24.67,24.84,52.6,53.95,ON,2025-09-08 14:27:08
272,2025-09-08,14:28:08,24.71,24.84,52.53,53.75,ON,2025-09-08 14:28:08
273,2025-09-08,14:29:09,24.62,24.75,52.68,53.9,ON,2025-09-08 14:29:09
274,2025-09-08,14:30:10,24.61,24.77,52.83,54.66,ON,2025-09-08 14:30:10
275,2025-09-08,14:31:10,24.67,24.84,52.52,53.72,ON,2025-09-08 14:31:10
276,2025-09-08,14:32:10,24.67,24.84,52.52,53.72,ON,2025-09-08 14:32:10
