id,tanggal,waktu,temperature1,temperature2,humidity1,humidity2,status,created_at
444,2025-09-10,11:21:57,26.35,26.65,60.1,59.5,ON,2025-09-10 11:21:57
445,2025-09-10,11:22:58,26.32,26.66,59.75,60.12,ON,2025-09-10 11:22:58
446,2025-09-10,11:23:58,26.33,26.64,61.97,62.24,ON,2025-09-10 11:23:58
447,2025-09-10,11:24:59,26.48,26.75,61.56,62.93,ON,2025-09-10 11:24:59
448,2025-09-10,11:25:59,26.58,26.86,60.91,62.99,ON,2025-09-10 11:25:59
449,2025-09-10,11:27:00,26.55,26.84,61.24,63.02,ON,2025-09-10 11:27:00
450,2025-09-10,11:28:00,26.69,26.86,61.22,63.14,ON,2025-09-10 11:28:00
451,2025-09-10,11:29:01,26.61,26.82,58.22,59.71,ON,2025-09-10 11:29:01
452,2025-09-10,11:30:01,26.46,26.71,57.78,59.06,ON,2025-09-10 11:30:01
453,2025-09-10,11:31:01,26.33,26.64,59.33,59.45,ON,2025-09-10 11:31:01
454,2025-09-10,11:32:01,26.32,26.64,59.54,59.37,ON,2025-09-10 11:32:01
455,2025-09-10,11:33:01,26.26,26.65,59.52,59.54,ON,2025-09-10 11:33:01
