id,tanggal,waktu,temperature1,temperature2,humidity1,humidity2,status,created_at
357,2025-09-10,08:37:35,25.25,25.38,64.06,65.95,ON,2025-09-10 08:37:35
358,2025-09-10,08:38:36,25.29,25.38,67.14,70.14,ON,2025-09-10 08:38:36
359,2025-09-10,08:39:36,25.33,25.42,63.85,65.77,ON,2025-09-10 08:39:36
360,2025-09-10,08:40:36,25.28,25.43,63.92,65.31,ON,2025-09-10 08:40:36
361,2025-09-10,08:41:37,25.54,25.69,63.47,65.3,ON,2025-09-10 08:41:37
362,2025-09-10,08:42:38,25.49,25.59,62.8,64.88,ON,2025-09-10 08:42:38
363,2025-09-10,08:43:38,25.51,25.59,62.79,64.71,ON,2025-09-10 08:43:38
364,2025-09-10,08:44:38,25.51,25.47,63.28,65.03,ON,2025-09-10 08:44:38
365,2025-09-10,08:45:39,25.45,25.54,63.62,65.16,ON,2025-09-10 08:45:39
366,2025-09-10,08:46:39,25.38,25.47,63.46,65.31,ON,2025-09-10 08:46:39
367,2025-09-10,08:47:40,25.48,25.57,63.1,65.15,ON,2025-09-10 08:47:40
368,2025-09-10,08:48:40,25.59,25.68,64.75,65.87,ON,2025-09-10 08:48:40
369,2025-09-10,08:49:40,25.55,25.6,63.83,65.16,ON,2025-09-10 08:49:40
370,2025-09-10,08:50:41,25.78,26.27,65.28,66.89,ON,2025-09-10 08:50:41
371,2025-09-10,08:51:41,25.92,26.15,65.2,66.8,ON,2025-09-10 08:51:41
372,2025-09-10,08:52:41,25.83,26.1,62.13,63.49,ON,2025-09-10 08:52:41
373,2025-09-10,08:53:42,25.89,26.07,63.14,64.7,ON,2025-09-10 08:53:42
374,2025-09-10,08:54:42,25.83,26.13,66.44,68.46,ON,2025-09-10 08:54:42
375,2025-09-10,08:55:42,25.85,25.99,62.7,64.6,ON,2025-09-10 08:55:42
376,2025-09-10,08:56:42,25.78,26.05,64.83,66.35,ON,2025-09-10 08:56:42
377,2025-09-10,08:57:42,25.9,26.18,66.23,68.55,ON,2025-09-10 08:57:42
378,2025-09-10,08:58:42,25.99,26.35,65.96,68.21,ON,2025-09-10 08:58:42
379,2025-09-10,08:59:42,25.99,26.31,63.3,65.08,ON,2025-09-10 08:59:42
380,2025-09-10,09:00:43,25.97,26.16,63.85,64.41,ON,2025-09-10 09:00:43
381,2025-09-10,09:01:43,25.97,26.15,65.75,66.79,ON,2025-09-10 09:01:43
