id,tanggal,waktu,temperature1,temperature2,humidity1,humidity2,status,created_at
483,2025-09-10,13:53:28,25.74,25.99,60.86,62.34,ON,2025-09-10 13:53:28
484,2025-09-10,13:54:28,25.75,25.98,61.6,62.91,ON,2025-09-10 13:54:28
485,2025-09-10,13:55:29,25.9,26.15,61.57,63.22,ON,2025-09-10 13:55:29
486,2025-09-10,13:56:29,25.99,26.35,60.12,61.15,ON,2025-09-10 13:56:29
487,2025-09-10,13:57:29,25.82,26.19,59.91,60.53,ON,2025-09-10 13:57:29
488,2025-09-10,13:58:29,25.82,26.24,59.91,60.66,ON,2025-09-10 13:58:29
489,2025-09-10,13:59:30,25.82,26.08,60.69,61.12,ON,2025-09-10 13:59:30
490,2025-09-10,14:00:31,25.83,26.12,59.82,60.7,ON,2025-09-10 14:00:31
491,2025-09-10,14:01:31,25.78,25.98,60.69,60.86,ON,2025-09-10 14:01:31
492,2025-09-10,14:02:31,25.72,25.94,61.0,61.82,ON,2025-09-10 14:02:31
493,2025-09-10,14:03:31,25.78,26.01,59.88,60.65,ON,2025-09-10 14:03:31
494,2025-09-10,14:04:32,25.71,25.94,59.63,60.33,ON,2025-09-10 14:04:32
495,2025-09-10,14:05:32,25.64,25.87,61.57,61.92,ON,2025-09-10 14:05:32
496,2025-09-10,14:06:33,25.74,26.08,60.1,61.01,ON,2025-09-10 14:06:33
497,2025-09-10,14:07:33,25.67,26.01,59.36,60.5,ON,2025-09-10 14:07:33
498,2025-09-10,14:08:33,25.78,26.19,61.69,62.91,ON,2025-09-10 14:08:33
499,2025-09-10,14:09:33,25.74,26.3,60.92,63.11,ON,2025-09-10 14:09:33
500,2025-09-10,14:10:33,25.85,26.13,59.77,60.53,ON,2025-09-10 14:10:33
501,2025-09-10,14:11:34,25.74,26.24,60.05,60.11,ON,2025-09-10 14:11:34
502,2025-09-10,14:12:35,25.84,26.21,60.67,61.42,ON,2025-09-10 14:12:35
503,2025-09-10,14:13:35,25.77,26.13,58.85,59.61,ON,2025-09-10 14:13:35
504,2025-09-10,14:14:35,25.79,26.2,58.9,59.53,ON,2025-09-10 14:14:35
505,2025-09-10,14:15:36,25.79,26.09,58.96,59.73,ON,2025-09-10 14:15:36
506,2025-09-10,14:16:36,25.76,26.08,58.27,59.17,ON,2025-09-10 14:16:36
507,2025-09-10,14:17:36,25.81,26.09,60.88,62.91,ON,2025-09-10 14:17:36
508,2025-09-10,14:18:37,25.88,26.33,59.38,61.01,ON,2025-09-10 14:18:37
509,2025-09-10,14:19:37,25.85,26.2,59.61,59.79,ON,2025-09-10 14:19:37
510,2025-09-10,14:20:37,25.74,26.05,58.59,58.97,ON,2025-09-10 14:20:37
511,2025-09-10,14:21:38,25.69,26.01,58.82,59.49,ON,2025-09-10 14:21:38
512,2025-09-10,14:22:38,25.68,26.13,58.46,59.16,ON,2025-09-10 14:22:38
513,2025-09-10,14:23:38,25.71,26.25,58.52,59.09,ON,2025-09-10 14:23:38
514,2025-09-10,14:24:39,25.66,26.16,58.99,59.53,ON,2025-09-10 14:24:39
515,2025-09-10,14:25:39,25.78,26.18,58.36,58.7,ON,2025-09-10 14:25:39
516,2025-09-10,14:26:40,25.82,26.2,58.2,58.94,ON,2025-09-10 14:26:40
517,2025-09-10,14:27:40,25.86,26.22,58.13,58.84,ON,2025-09-10 14:27:40
518,2025-09-10,14:28:40,25.86,26.16,57.7,58.72,ON,2025-09-10 14:28:40
