id,tanggal,waktu,temperature1,temperature2,humidity1,humidity2,status,created_at
222,2025-09-04,15:45:42,24.53,24.71,61.41,63.14,ON,2025-09-04 15:45:42
223,2025-09-04,15:46:43,24.65,24.71,61.82,63.49,ON,2025-09-04 15:46:43
224,2025-09-04,15:47:43,24.58,24.74,60.86,62.75,ON,2025-09-04 15:47:43
225,2025-09-04,15:48:44,24.65,24.71,61.55,63.46,ON,2025-09-04 15:48:44
226,2025-09-04,15:49:45,24.63,24.75,61.06,62.77,ON,2025-09-04 15:49:45
227,2025-09-04,15:50:45,24.6,24.77,61.2,63.02,ON,2025-09-04 15:50:45
228,2025-09-04,15:51:46,24.6,24.77,61.2,63.02,ON,2025-09-04 15:51:46
