id,tanggal,waktu,temperature1,temperature2,humidity1,humidity2,status,created_at
948,2025-09-11,13:38:25,24.65,24.87,65.03,66.32,ON,2025-09-11 13:38:25
949,2025-09-11,13:39:25,24.65,24.94,64.92,65.83,ON,2025-09-11 13:39:25
950,2025-09-11,13:40:26,24.69,24.88,64.48,65.97,ON,2025-09-11 13:40:26
951,2025-09-11,13:41:26,24.7,24.84,64.36,65.82,ON,2025-09-11 13:41:26
952,2025-09-11,13:42:27,24.62,24.88,64.66,66.27,ON,2025-09-11 13:42:27
953,2025-09-11,13:43:28,24.65,24.88,63.83,65.43,ON,2025-09-11 13:43:28
954,2025-09-11,13:44:28,24.65,24.88,63.81,65.35,ON,2025-09-11 13:44:28
955,2025-09-11,13:45:28,24.63,24.86,63.78,65.48,ON,2025-09-11 13:45:28
956,2025-09-11,13:46:29,24.68,24.84,63.86,65.47,ON,2025-09-11 13:46:29
