id,tanggal,waktu,temperature1,temperature2,humidity1,humidity2,status,created_at
460,2025-09-10,13:28:53,26.23,26.6,59.73,60.56,ON,2025-09-10 13:28:53
461,2025-09-10,13:29:53,26.23,26.59,59.61,59.91,ON,2025-09-10 13:29:53
462,2025-09-10,13:30:53,26.12,26.39,59.42,61.03,ON,2025-09-10 13:30:53
463,2025-09-10,13:31:53,27.63,26.51,87.18,62.89,ON,2025-09-10 13:31:53
464,2025-09-10,13:32:54,30.5,26.68,73.15,65.75,ON,2025-09-10 13:32:54
465,2025-09-10,13:33:55,30.34,26.76,56.25,63.29,ON,2025-09-10 13:33:55
