id,tanggal,waktu,temperature1,temperature2,humidity1,humidity2,status,created_at
408,2025-09-10,10:08:40,26.1,26.43,60.65,60.3,ON,2025-09-10 10:08:40
409,2025-09-10,10:09:40,26.15,26.54,62.82,62.91,ON,2025-09-10 10:09:40
410,2025-09-10,10:10:41,26.29,26.6,63.6,63.81,ON,2025-09-10 10:10:41
411,2025-09-10,10:11:41,26.28,26.64,61.76,63.17,ON,2025-09-10 10:11:41
412,2025-09-10,10:12:41,26.23,26.6,61.2,61.75,ON,2025-09-10 10:12:41
413,2025-09-10,10:13:42,26.21,26.48,59.26,59.67,ON,2025-09-10 10:13:42
414,2025-09-10,10:14:43,26.16,26.41,59.57,59.68,ON,2025-09-10 10:14:43
415,2025-09-10,10:15:43,26.01,26.27,60.56,61.42,ON,2025-09-10 10:15:43
416,2025-09-10,10:16:44,26.01,26.33,60.09,61.73,ON,2025-09-10 10:16:44
417,2025-09-10,10:17:44,26.01,26.29,60.16,61.33,ON,2025-09-10 10:17:44
418,2025-09-10,10:18:45,26.06,26.36,59.57,61.03,ON,2025-09-10 10:18:45
419,2025-09-10,10:19:45,25.99,26.31,59.77,60.7,ON,2025-09-10 10:19:45
