id,tanggal,waktu,temperature1,temperature2,humidity1,humidity2,status,created_at
964,2025-09-11,14:03:53,24.58,24.82,61.67,63.42,ON,2025-09-11 14:03:53
965,2025-09-11,14:04:54,24.64,24.83,61.83,62.91,ON,2025-09-11 14:04:54
966,2025-09-11,14:05:54,24.5,24.7,61.6,63.19,ON,2025-09-11 14:05:54
967,2025-09-11,14:06:54,24.82,25.06,60.88,62.72,ON,2025-09-11 14:06:54
968,2025-09-11,14:07:54,25.12,25.19,60.18,62.19,ON,2025-09-11 14:07:54
969,2025-09-11,14:08:54,24.94,25.06,60.67,62.27,ON,2025-09-11 14:08:54
970,2025-09-11,14:09:55,24.86,24.91,60.9,62.45,ON,2025-09-11 14:09:55
971,2025-09-11,14:10:56,24.74,24.85,60.99,62.57,ON,2025-09-11 14:10:56
972,2025-09-11,14:11:57,24.65,24.87,60.88,62.52,ON,2025-09-11 14:11:57
973,2025-09-11,14:12:57,24.69,24.82,61.3,62.74,ON,2025-09-11 14:12:57
974,2025-09-11,14:13:58,24.67,24.87,60.72,62.29,ON,2025-09-11 14:13:58
975,2025-09-11,14:14:58,24.53,24.93,61.25,62.96,ON,2025-09-11 14:14:58
976,2025-09-11,14:15:59,24.53,24.75,60.67,61.83,ON,2025-09-11 14:15:59
977,2025-09-11,14:16:59,24.52,24.79,60.78,61.94,ON,2025-09-11 14:16:59
978,2025-09-11,14:18:00,24.48,24.8,60.78,62.13,ON,2025-09-11 14:18:00
979,2025-09-11,14:19:01,24.55,24.79,60.51,61.95,ON,2025-09-11 14:19:01
980,2025-09-11,14:20:01,24.61,24.82,60.58,61.92,ON,2025-09-11 14:20:01
981,2025-09-11,14:21:02,24.91,25.07,59.42,61.13,ON,2025-09-11 14:21:02
982,2025-09-11,14:22:02,24.84,24.96,60.25,61.57,ON,2025-09-11 14:22:02
983,2025-09-11,14:23:03,25.04,25.15,59.29,60.58,ON,2025-09-11 14:23:03
984,2025-09-11,14:24:03,24.93,25.07,59.84,60.75,ON,2025-09-11 14:24:03
985,2025-09-11,14:25:04,24.74,24.93,59.65,61.08,ON,2025-09-11 14:25:04
986,2025-09-11,14:26:04,24.61,24.85,59.91,61.01,ON,2025-09-11 14:26:04
987,2025-09-11,14:27:05,24.56,24.87,60.05,61.72,ON,2025-09-11 14:27:05
988,2025-09-11,14:28:05,24.62,24.92,60.14,61.58,ON,2025-09-11 14:28:05
989,2025-09-11,14:29:06,24.72,24.91,61.04,62.07,ON,2025-09-11 14:29:06
990,2025-09-11,14:30:06,24.89,24.97,61.9,62.86,ON,2025-09-11 14:30:06
991,2025-09-11,14:31:07,25.1,25.19,61.78,63.41,ON,2025-09-11 14:31:07
992,2025-09-11,14:32:08,25.22,25.31,62.03,63.76,ON,2025-09-11 14:32:08
993,2025-09-11,14:33:09,25.28,25.39,61.96,64.28,ON,2025-09-11 14:33:09
994,2025-09-11,14:34:09,25.19,25.36,62.68,64.56,ON,2025-09-11 14:34:09
995,2025-09-11,14:35:10,25.24,25.31,63.05,64.76,ON,2025-09-11 14:35:10
996,2025-09-11,14:36:10,25.2,25.39,63.49,65.26,ON,2025-09-11 14:36:10
997,2025-09-11,14:37:11,25.45,25.51,63.26,65.5,ON,2025-09-11 14:37:11
998,2025-09-11,14:38:11,25.43,25.52,63.33,65.58,ON,2025-09-11 14:38:11
999,2025-09-11,14:39:12,25.49,25.57,63.97,65.83,ON,2025-09-11 14:39:12
1000,2025-09-11,14:40:13,25.5,25.6,64.09,65.87,ON,2025-09-11 14:40:13
1001,2025-09-11,14:41:13,25.5,25.54,64.43,65.73,ON,2025-09-11 14:41:13
1002,2025-09-11,14:42:13,25.52,25.53,64.36,66.12,ON,2025-09-11 14:42:13
1003,2025-09-11,14:43:14,25.48,25.58,65.01,66.47,ON,2025-09-11 14:43:14
1004,2025-09-11,14:44:14,25.49,25.6,64.92,67.06,ON,2025-09-11 14:44:14
1005,2025-09-11,14:45:14,25.57,25.66,65.29,66.99,ON,2025-09-11 14:45:14
1006,2025-09-11,14:46:15,25.62,25.71,65.35,67.04,ON,2025-09-11 14:46:15
1007,2025-09-11,14:47:15,25.6,25.69,65.63,67.27,ON,2025-09-11 14:47:15
1008,2025-09-11,14:48:16,25.62,25.67,65.7,67.44,ON,2025-09-11 14:48:16
1009,2025-09-11,14:49:16,25.62,25.7,65.82,67.67,ON,2025-09-11 14:49:16
1010,2025-09-11,14:50:16,25.67,25.8,65.49,67.32,ON,2025-09-11 14:50:16
1011,2025-09-11,14:51:17,25.59,25.76,65.28,66.7,ON,2025-09-11 14:51:17
1012,2025-09-11,14:52:17,25.59,25.68,65.24,66.67,ON,2025-09-11 14:52:17
1013,2025-09-11,14:53:17,25.48,25.72,65.31,66.74,ON,2025-09-11 14:53:17
1014,2025-09-11,14:54:18,25.38,25.59,64.64,66.34,ON,2025-09-11 14:54:18
1015,2025-09-11,14:55:18,25.33,25.55,65.04,66.45,ON,2025-09-11 14:55:18
1016,2025-09-11,14:56:19,25.19,25.41,64.55,65.83,ON,2025-09-11 14:56:19
1017,2025-09-11,14:57:19,25.09,25.43,64.37,66.15,ON,2025-09-11 14:57:19
1018,2025-09-11,14:58:19,25.14,25.33,64.94,66.02,ON,2025-09-11 14:58:19
1019,2025-09-11,14:59:19,24.98,25.34,64.97,66.5,ON,2025-09-11 14:59:19
1020,2025-09-11,15:00:20,24.97,25.29,64.41,65.67,ON,2025-09-11 15:00:20
1021,2025-09-11,15:01:20,25.01,25.22,64.53,65.53,ON,2025-09-11 15:01:20
1022,2025-09-11,15:02:21,24.89,25.23,64.25,65.33,ON,2025-09-11 15:02:21
1023,2025-09-11,15:03:21,25.0,25.22,63.76,65.06,ON,2025-09-11 15:03:21
1024,2025-09-11,15:04:21,24.94,25.25,63.65,65.33,ON,2025-09-11 15:04:21
1025,2025-09-11,15:05:22,24.91,25.19,63.86,65.05,ON,2025-09-11 15:05:22
1026,2025-09-11,15:06:23,24.94,25.14,63.47,65.05,ON,2025-09-11 15:06:23
1027,2025-09-11,15:07:23,24.96,25.18,63.39,64.61,ON,2025-09-11 15:07:23
1028,2025-09-11,15:08:23,24.96,25.18,63.32,64.46,ON,2025-09-11 15:08:23
1029,2025-09-11,15:09:24,24.91,25.17,62.86,64.41,ON,2025-09-11 15:09:24
1030,2025-09-11,15:10:25,24.94,25.12,62.63,64.21,ON,2025-09-11 15:10:25
1031,2025-09-11,15:11:25,24.86,25.11,62.91,64.16,ON,2025-09-11 15:11:25
1032,2025-09-11,15:12:25,24.84,25.09,62.77,64.23,ON,2025-09-11 15:12:25
1033,2025-09-11,15:13:26,24.81,25.06,62.38,64.13,ON,2025-09-11 15:13:26
1034,2025-09-11,15:14:26,24.82,25.08,62.29,63.96,ON,2025-09-11 15:14:26
1035,2025-09-11,15:15:26,24.78,25.13,62.49,64.09,ON,2025-09-11 15:15:26
1036,2025-09-11,15:16:27,24.77,25.02,62.52,64.03,ON,2025-09-11 15:16:27
1037,2025-09-11,15:17:27,24.84,25.07,62.06,63.47,ON,2025-09-11 15:17:27
1038,2025-09-11,15:18:27,24.79,25.0,61.89,63.39,ON,2025-09-11 15:18:27
1039,2025-09-11,15:19:28,24.7,24.99,61.78,63.49,ON,2025-09-11 15:19:28
1040,2025-09-11,15:20:28,24.76,25.0,62.24,63.44,ON,2025-09-11 15:20:28
1041,2025-09-11,15:21:28,24.75,24.96,61.78,62.89,ON,2025-09-11 15:21:28
1042,2025-09-11,15:22:29,24.68,24.88,61.69,63.63,ON,2025-09-11 15:22:29
1043,2025-09-11,15:23:29,24.65,24.87,61.66,63.56,ON,2025-09-11 15:23:29
1044,2025-09-11,15:24:30,24.69,24.94,61.34,63.14,ON,2025-09-11 15:24:30
1045,2025-09-11,15:25:30,24.72,24.93,61.45,63.04,ON,2025-09-11 15:25:30
1046,2025-09-11,15:26:31,24.69,24.87,61.71,63.09,ON,2025-09-11 15:26:31
1047,2025-09-11,15:27:31,24.57,24.95,61.6,63.06,ON,2025-09-11 15:27:31
1048,2025-09-11,15:28:31,24.6,24.85,61.29,62.69,ON,2025-09-11 15:28:31
1049,2025-09-11,15:29:31,24.59,24.83,61.52,62.55,ON,2025-09-11 15:29:31
1050,2025-09-11,15:30:31,24.57,24.9,61.09,62.4,ON,2025-09-11 15:30:31
1051,2025-09-11,15:31:32,24.6,24.94,61.25,62.49,ON,2025-09-11 15:31:32
1052,2025-09-11,15:32:33,24.6,24.82,60.74,62.24,ON,2025-09-11 15:32:33
1053,2025-09-11,15:33:33,24.63,24.85,60.72,61.92,ON,2025-09-11 15:33:33
1054,2025-09-11,15:34:33,24.6,24.72,60.86,62.64,ON,2025-09-11 15:34:33
1055,2025-09-11,15:35:33,24.61,24.83,61.07,62.55,ON,2025-09-11 15:35:33
1056,2025-09-11,15:36:33,24.51,24.82,61.5,63.04,ON,2025-09-11 15:36:33
1057,2025-09-11,15:37:34,24.67,24.84,61.92,63.46,ON,2025-09-11 15:37:34
1058,2025-09-11,15:38:34,24.61,24.88,62.35,63.69,ON,2025-09-11 15:38:34
1059,2025-09-11,15:39:34,24.6,24.77,62.87,64.21,ON,2025-09-11 15:39:34
1060,2025-09-11,15:40:35,24.63,24.84,63.05,64.36,ON,2025-09-11 15:40:35
1061,2025-09-11,15:41:35,24.65,24.84,63.44,65.03,ON,2025-09-11 15:41:35
1062,2025-09-11,15:42:35,24.68,24.84,63.28,65.06,ON,2025-09-11 15:42:35
1063,2025-09-11,15:43:35,24.7,24.91,63.83,64.98,ON,2025-09-11 15:43:35
1064,2025-09-11,15:44:36,24.75,25.01,63.39,65.13,ON,2025-09-11 15:44:36
1065,2025-09-11,15:45:37,24.71,24.96,63.56,65.21,ON,2025-09-11 15:45:37
1066,2025-09-11,15:46:37,24.75,24.92,63.51,65.21,ON,2025-09-11 15:46:37
