id,tanggal,waktu,temperature1,temperature2,humidity1,humidity2,status,created_at
655,2025-09-11,08:38:48,25.15,25.15,65.01,66.9,ON,2025-09-11 08:38:48
656,2025-09-11,08:39:48,25.19,25.36,64.71,66.62,ON,2025-09-11 08:39:48
657,2025-09-11,08:40:48,25.16,25.33,64.62,66.64,ON,2025-09-11 08:40:48
658,2025-09-11,08:41:48,25.21,25.34,64.5,66.4,ON,2025-09-11 08:41:48
659,2025-09-11,08:42:49,25.24,25.31,64.11,66.39,ON,2025-09-11 08:42:49
660,2025-09-11,08:43:49,25.22,25.27,64.07,66.04,ON,2025-09-11 08:43:49
661,2025-09-11,08:44:49,25.16,25.34,64.52,66.3,ON,2025-09-11 08:44:49
